# X03MA-ES2-MA:TRYS.VAL,	X03MA-ES2-ACPH1:V,	X03MA-ES2-ACDC:V,	
3.699852607121960624e+00,	4.928664118051528931e-02,	2.007324218750000000e+00
3.724499217013299557e+00,	5.233844369649887085e-02,	2.114747762680053711e+00
3.749479546392826101e+00,	5.325398594141006470e-02,	2.212710857391357422e+00
3.774202760728476491e+00,	5.355916544795036316e-02,	2.369268417358398438e+00
3.799670018484813117e+00,	4.959182068705558777e-02,	2.496833801269531250e+00
3.824445185898088795e+00,	4.318303242325782776e-02,	2.300907850265502930e+00
3.849373562199989607e+00,	4.318303242325782776e-02,	2.139467477798461914e+00
3.874697286406792784e+00,	4.745555669069290161e-02,	2.259708642959594727e+00
3.899907429119254587e+00,	5.081254243850708008e-02,	2.467231273651123047e+00
3.925490918714184208e+00,	5.111772194504737854e-02,	2.518196344375610352e+00
3.950189481683149317e+00,	5.111772194504737854e-02,	2.697642564773559570e+00
3.975028927857394478e+00,	4.867627844214439392e-02,	2.805981636047363281e+00
3.999865723687387131e+00,	4.287785291671752930e-02,	2.315861701965332031e+00
